FlightDate,HourRange,NonUsaPassengerAverageWait,NonUsaPassengerCount,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount
2023-01-04,0000 - 0100,11,29,171,11,142
2023-01-04,0500 - 0600,38,102,234,35,132
2023-01-04,0600 - 0700,18,1478,2716,13,1238
2023-01-04,0700 - 0800,29,857,1520,16,663
2023-01-04,0800 - 0900,39,528,895,12,367
2023-01-04,0900 - 1000,39,640,934,10,294
2023-01-04,1000 - 1100,12,417,1086,10,669
2023-01-04,1100 - 1200,10,520,1086,10,566
2023-01-04,1200 - 1300,12,777,2082,12,1305
2023-01-04,1300 - 1400,19,1234,2276,11,1042
2023-01-04,1400 - 1500,31,632,1473,17,841
2023-01-04,1500 - 1600,17,1025,2195,13,1170
2023-01-04,1600 - 1700,12,831,2045,11,1214
2023-01-04,1700 - 1800,10,257,1437,12,1180
2023-01-04,1800 - 1900,15,898,1758,13,860
2023-01-04,1900 - 2000,22,513,1679,14,1166
2023-01-04,2000 - 2100,11,150,502,12,352
2023-01-04,2100 - 2200,11,255,1284,13,1029
2023-01-04,2200 - 2300,14,120,503,13,383
2023-01-04,2300 - 0000,19,276,1138,15,862
2023-01-05,0200 - 0300,12,23,158,8,135
2023-01-05,0500 - 0600,27,399,757,28,358
2023-01-05,0600 - 0700,23,565,1538,17,973
2023-01-05,0700 - 0800,33,652,1015,15,363
2023-01-05,0800 - 0900,18,135,526,20,391
2023-01-05,0900 - 1000,20,578,1358,14,780
2023-01-05,1000 - 1100,14,303,811,10,508
2023-01-05,1100 - 1200,10,588,1598,9,1010
2023-01-05,1200 - 1300,20,899,2217,15,1318
2023-01-05,1300 - 1400,19,997,2766,15,1769
2023-01-05,1400 - 1500,15,980,2344,14,1364
2023-01-05,1500 - 1600,12,550,1592,14,1042
2023-01-05,1600 - 1700,15,364,1134,15,770
2023-01-05,1700 - 1800,18,789,2086,14,1297
2023-01-05,1800 - 1900,13,571,2229,13,1658
2023-01-05,1900 - 2000,18,280,895,14,615
2023-01-05,2000 - 2100,10,280,787,12,507
2023-01-05,2100 - 2200,13,125,696,13,571
2023-01-05,2200 - 2300,14,283,1206,13,923
2023-01-05,2300 - 0000,14,155,651,12,496
2023-01-06,0500 - 0600,25,248,770,24,522
2023-01-06,0600 - 0700,17,484,1234,15,750
2023-01-06,0700 - 0800,24,678,1446,9,768
2023-01-06,0800 - 0900,50,770,1637,18,867
2023-01-06,0900 - 1000,43,189,690,18,501
2023-01-06,1000 - 1100,16,684,1455,14,771
2023-01-06,1100 - 1200,14,467,1366,12,899
2023-01-06,1200 - 1300,23,654,1852,20,1198
2023-01-06,1300 - 1400,20,981,2712,14,1731
2023-01-06,1400 - 1500,15,485,1714,12,1229
2023-01-06,1500 - 1600,19,581,1411,16,830
2023-01-06,1600 - 1700,11,847,2815,12,1968
2023-01-06,1700 - 1800,11,468,1495,11,1027
2023-01-06,1800 - 1900,17,463,1431,14,968
2023-01-06,1900 - 2000,16,621,1770,11,1149
2023-01-06,2000 - 2100,16,87,701,15,614
2023-01-06,2100 - 2200,15,188,947,14,759
2023-01-06,2200 - 2300,18,300,986,16,686
2023-01-06,2300 - 0000,11,109,470,11,361
2023-01-07,0500 - 0600,34,52,240,31,188
2023-01-07,0600 - 0700,16,522,1368,13,846
2023-01-07,0700 - 0800,33,702,1401,13,699
2023-01-07,0800 - 0900,55,328,859,20,531
2023-01-07,0900 - 1000,25,540,1109,16,569
2023-01-07,1000 - 1100,11,327,1048,11,721
2023-01-07,1100 - 1200,15,511,1525,16,1014
2023-01-07,1200 - 1300,16,561,1446,15,885
2023-01-07,1300 - 1400,13,1127,2774,9,1647
2023-01-07,1400 - 1500,16,481,1505,15,1024
2023-01-07,1500 - 1600,20,727,2261,13,1534
2023-01-07,1600 - 1700,32,1041,2800,17,1759
2023-01-07,1700 - 1800,43,924,2289,19,1365
2023-01-07,1800 - 1900,14,267,1588,15,1321
2023-01-07,1900 - 2000,22,268,945,17,677
2023-01-07,2000 - 2100,17,392,1348,20,956
2023-01-07,2100 - 2200,19,235,1024,17,789
2023-01-07,2200 - 2300,22,254,1224,20,970
2023-01-07,2300 - 0000,15,104,494,16,390
2023-01-08,0500 - 0600,31,520,1327,20,807
2023-01-08,0600 - 0700,22,484,1190,18,706
2023-01-08,0700 - 0800,26,753,1816,18,1063
2023-01-08,0800 - 0900,42,721,1459,15,738
2023-01-08,0900 - 1000,43,431,1200,17,769
2023-01-08,1000 - 1100,13,201,630,12,429
2023-01-08,1100 - 1200,14,839,1939,13,1100
2023-01-08,1200 - 1300,20,433,1675,17,1242
2023-01-08,1300 - 1400,10,923,2271,12,1348
2023-01-08,1400 - 1500,16,727,1707,14,980
2023-01-08,1500 - 1600,17,1091,2651,15,1560
2023-01-08,1600 - 1700,13,464,1267,12,803
2023-01-08,1700 - 1800,14,478,1751,14,1273
2023-01-08,1800 - 1900,14,530,1838,14,1308
2023-01-08,1900 - 2000,21,238,907,14,669
2023-01-08,2000 - 2100,19,779,1511,13,732
2023-01-08,2100 - 2200,14,189,896,13,707
2023-01-08,2200 - 2300,19,164,817,14,653
2023-01-08,2300 - 0000,22,349,1134,21,785
2023-01-09,0500 - 0600,27,234,786,18,552
2023-01-09,0600 - 0700,52,750,1208,19,458
2023-01-09,0700 - 0800,61,870,1729,16,859
2023-01-09,0800 - 0900,86,389,898,29,509
2023-01-09,0900 - 1000,43,509,955,12,446
2023-01-09,1000 - 1100,15,375,1051,16,676
2023-01-09,1100 - 1200,16,382,1128,16,746
2023-01-09,1200 - 1300,21,483,1268,16,785
2023-01-09,1300 - 1400,16,521,1563,13,1042
2023-01-09,1400 - 1500,23,643,1705,24,1062
2023-01-09,1500 - 1600,29,874,2382,22,1508
2023-01-09,1600 - 1700,40,875,2282,21,1407
2023-01-09,1700 - 1800,24,665,2142,17,1477
2023-01-09,1800 - 1900,15,483,1091,13,608
2023-01-09,1900 - 2000,27,252,891,21,639
