AirportCode,AirportName,Average_0_15_PassengerCount,Average_121_PassengerCount,Average_16_30_PassengerCount,Average_31_45_PassengerCount,Average_46_60_PassengerCount,Average_61_90_PassengerCount,Average_91_120_PassengerCount,AverageWait,BoothsUsed,ExcludedPassengerCount,FlightCount,FlightDate,GlobalEntryPassengerCount,HourRange,LastUpdated,MaxWait,NonUsaPassengerAverageWait,NonUsaPassengerCount,NonUsaPassengerMaxWait,SiteId,TerminalName,TotalPassengerCount,UsaPassengerAverageWait,UsaPassengerCount,UsaPassengerMaxWait
LAX,Los Angeles International Airport,301,0,378,84,0,0,0,18,33,20,3,2023-01-03,102,0500 - 0600,2024-08-05 10:10:53,42,16,254,42,A273,Tom Bradley International Terminal,783,19,529,42
LAX,Los Angeles International Airport,1216,0,462,14,0,0,0,12,35,54,6,2023-01-03,149,0600 - 0700,2024-08-05 10:10:53,41,10,880,31,A273,Tom Bradley International Terminal,1746,13,866,41
LAX,Los Angeles International Airport,643,0,340,266,39,0,0,19,33,35,4,2023-01-03,39,0700 - 0800,2024-08-05 10:10:53,48,23,891,48,A273,Tom Bradley International Terminal,1323,11,432,35
LAX,Los Angeles International Airport,509,0,78,0,0,0,0,9,32,18,3,2023-01-03,40,0800 - 0900,2024-08-05 10:10:53,26,9,327,26,A273,Tom Bradley International Terminal,605,9,278,23
LAX,Los Angeles International Airport,374,0,489,81,0,0,0,18,34,26,4,2023-01-03,139,0900 - 1000,2024-08-05 10:10:53,35,20,347,35,A273,Tom Bradley International Terminal,970,17,623,35
LAX,Los Angeles International Airport,550,0,554,153,6,0,0,17,36,35,6,2023-01-03,69,1000 - 1100,2024-08-05 10:10:53,53,21,363,53,A273,Tom Bradley International Terminal,1298,16,935,45
LAX,Los Angeles International Airport,561,0,210,173,0,0,0,16,41,26,4,2023-01-03,85,1100 - 1200,2024-08-05 10:10:53,44,21,422,44,A273,Tom Bradley International Terminal,970,12,548,44
LAX,Los Angeles International Airport,1002,0,703,202,0,0,0,16,48,53,9,2023-01-03,123,1200 - 1300,2024-08-05 10:10:53,45,18,725,44,A273,Tom Bradley International Terminal,1960,15,1235,45
LAX,Los Angeles International Airport,1117,0,1162,283,0,0,0,17,54,67,9,2023-01-03,275,1300 - 1400,2024-08-05 10:10:53,44,20,1278,44,A273,Tom Bradley International Terminal,2629,15,1351,37
LAX,Los Angeles International Airport,815,0,512,31,0,0,0,13,48,35,5,2023-01-03,127,1400 - 1500,2024-08-05 10:10:53,34,18,576,34,A273,Tom Bradley International Terminal,1393,10,817,34
LAX,Los Angeles International Airport,991,0,477,0,0,0,0,12,37,39,6,2023-01-03,124,1500 - 1600,2024-08-05 10:10:53,29,12,572,29,A273,Tom Bradley International Terminal,1507,12,935,29
LAX,Los Angeles International Airport,797,0,86,0,0,0,0,8,34,27,4,2023-01-03,106,1600 - 1700,2024-08-05 10:10:53,24,9,287,21,A273,Tom Bradley International Terminal,910,8,623,24
LAX,Los Angeles International Airport,767,0,780,271,13,0,0,19,41,53,8,2023-01-03,193,1700 - 1800,2024-08-05 10:10:53,54,20,408,47,A273,Tom Bradley International Terminal,1884,18,1476,54
LAX,Los Angeles International Airport,726,0,93,0,0,0,0,9,38,22,4,2023-01-03,81,1800 - 1900,2024-08-05 10:10:53,20,11,188,20,A273,Tom Bradley International Terminal,841,8,653,20
LAX,Los Angeles International Airport,1020,0,332,7,0,0,0,10,31,41,5,2023-01-03,207,1900 - 2000,2024-08-05 10:10:53,34,12,351,34,A273,Tom Bradley International Terminal,1400,10,1049,30
LAX,Los Angeles International Airport,413,0,339,152,14,0,0,18,26,27,4,2023-01-03,109,2000 - 2100,2024-08-05 10:10:53,47,29,328,47,A273,Tom Bradley International Terminal,945,13,617,45
LAX,Los Angeles International Airport,773,0,419,57,0,0,0,13,24,35,6,2023-01-03,138,2100 - 2200,2024-08-05 10:10:53,38,16,359,38,A273,Tom Bradley International Terminal,1284,13,925,38
LAX,Los Angeles International Airport,504,0,443,0,0,0,0,14,21,18,6,2023-01-03,83,2200 - 2300,2024-08-05 10:10:53,27,15,220,27,A273,Tom Bradley International Terminal,965,13,745,27
LAX,Los Angeles International Airport,337,0,661,125,0,0,0,20,18,24,7,2023-01-03,57,2300 - 0000,2024-08-05 10:10:53,39,21,273,39,A273,Tom Bradley International Terminal,1147,20,874,39
LAX,Los Angeles International Airport,139,0,25,0,0,0,0,11,18,7,1,2023-01-04,0,0000 - 0100,2024-08-05 10:11:02,19,11,29,19,A273,Tom Bradley International Terminal,171,11,142,19
LAX,Los Angeles International Airport,0,0,24,193,12,0,0,36,31,5,1,2023-01-04,13,0500 - 0600,2024-08-05 10:11:02,48,38,102,48,A273,Tom Bradley International Terminal,234,35,132,46
LAX,Los Angeles International Airport,1466,0,959,196,20,0,0,15,36,75,10,2023-01-04,202,0600 - 0700,2024-08-05 10:11:02,48,18,1478,48,A273,Tom Bradley International Terminal,2716,13,1238,32
LAX,Los Angeles International Airport,509,0,517,320,108,28,0,23,35,38,5,2023-01-04,91,0700 - 0800,2024-08-05 10:11:02,74,29,857,74,A273,Tom Bradley International Terminal,1520,16,663,74
LAX,Los Angeles International Airport,293,0,145,282,134,14,0,28,34,27,4,2023-01-04,67,0800 - 0900,2024-08-05 10:11:02,64,39,528,64,A273,Tom Bradley International Terminal,895,12,367,64
LAX,Los Angeles International Airport,255,0,231,181,178,60,0,30,33,29,4,2023-01-04,62,0900 - 1000,2024-08-05 10:11:02,79,39,640,79,A273,Tom Bradley International Terminal,934,10,294,43
LAX,Los Angeles International Airport,793,0,254,0,0,0,0,11,47,39,5,2023-01-04,64,1000 - 1100,2024-08-05 10:11:02,26,12,417,26,A273,Tom Bradley International Terminal,1086,10,669,24
LAX,Los Angeles International Airport,835,0,211,15,0,0,0,10,46,25,5,2023-01-04,57,1100 - 1200,2024-08-05 10:11:02,36,10,520,36,A273,Tom Bradley International Terminal,1086,10,566,36
LAX,Los Angeles International Airport,1371,0,633,13,0,0,0,12,49,65,9,2023-01-04,172,1200 - 1300,2024-08-05 10:11:02,33,12,777,33,A273,Tom Bradley International Terminal,2082,12,1305,31
LAX,Los Angeles International Airport,1292,0,631,226,60,0,0,16,55,67,8,2023-01-04,163,1300 - 1400,2024-08-05 10:11:02,53,19,1234,53,A273,Tom Bradley International Terminal,2276,11,1042,50
LAX,Los Angeles International Airport,505,0,529,254,144,0,0,23,50,41,6,2023-01-04,137,1400 - 1500,2024-08-05 10:11:02,60,31,632,60,A273,Tom Bradley International Terminal,1473,17,841,57
LAX,Los Angeles International Airport,1168,0,783,172,4,0,0,15,49,68,8,2023-01-04,199,1500 - 1600,2024-08-05 10:11:02,48,17,1025,48,A273,Tom Bradley International Terminal,2195,13,1170,46
LAX,Los Angeles International Airport,1509,0,483,0,0,0,0,11,49,53,9,2023-01-04,160,1600 - 1700,2024-08-05 10:11:02,30,12,831,28,A273,Tom Bradley International Terminal,2045,11,1214,30
LAX,Los Angeles International Airport,932,0,448,18,0,0,0,12,40,39,8,2023-01-04,191,1700 - 1800,2024-08-05 10:11:02,39,10,257,29,A273,Tom Bradley International Terminal,1437,12,1180,39
LAX,Los Angeles International Airport,1031,0,630,50,0,0,0,14,43,47,7,2023-01-04,179,1800 - 1900,2024-08-05 10:11:02,38,15,898,38,A273,Tom Bradley International Terminal,1758,13,860,38
